x	|sinh(x/2)	|(cosh(x/2))/2	|(sinh(x/2))'	|(sinh(x/2))/4	|(sinh(x/2))''
-2.70 	| -1.80 	|  1.03 	|  1.01 	| -0.45     	| -0.42
-2.60 	| -1.70 	|  0.99 	|  0.96 	| -0.42     	| -0.40
-2.50 	| -1.60 	|  0.94 	|  0.92 	| -0.40     	| -0.38
-2.40 	| -1.51 	|  0.91 	|  0.89 	| -0.38     	| -0.36
-2.30 	| -1.42 	|  0.87 	|  0.85 	| -0.36     	| -0.33
-2.20 	| -1.34 	|  0.83 	|  0.82 	| -0.33     	| -0.31
-2.10 	| -1.25 	|  0.80 	|  0.79 	| -0.31     	| -0.29
-2.00 	| -1.18 	|  0.77 	|  0.76 	| -0.29     	| -0.27
-1.90 	| -1.10 	|  0.74 	|  0.73 	| -0.27     	| -0.26
-1.80 	| -1.03 	|  0.72 	|  0.70 	| -0.26     	| -0.24
-1.70 	| -0.96 	|  0.69 	|  0.68 	| -0.24     	| -0.22
-1.60 	| -0.89 	|  0.67 	|  0.66 	| -0.22     	| -0.21
-1.50 	| -0.82 	|  0.65 	|  0.64 	| -0.21     	| -0.19
-1.40 	| -0.76 	|  0.63 	|  0.62 	| -0.19     	| -0.17
-1.30 	| -0.70 	|  0.61 	|  0.60 	| -0.17     	| -0.16
-1.20 	| -0.64 	|  0.59 	|  0.59 	| -0.16     	| -0.14
-1.10 	| -0.58 	|  0.58 	|  0.57 	| -0.14     	| -0.13
-1.00 	| -0.52 	|  0.56 	|  0.56 	| -0.13     	| -0.12
-0.90 	| -0.47 	|  0.55 	|  0.55 	| -0.12     	| -0.10
-0.80 	| -0.41 	|  0.54 	|  0.54 	| -0.10     	| -0.09
-0.70 	| -0.36 	|  0.53 	|  0.53 	| -0.09     	| -0.08
-0.60 	| -0.30 	|  0.52 	|  0.52 	| -0.08     	| -0.06
-0.50 	| -0.25 	|  0.52 	|  0.51 	| -0.06     	| -0.05
-0.40 	| -0.20 	|  0.51 	|  0.51 	| -0.05     	| -0.04
-0.30 	| -0.15 	|  0.51 	|  0.50 	| -0.04     	| -0.03
-0.20 	| -0.10 	|  0.50 	|  0.50 	| -0.03     	| -0.01
-0.10 	| -0.05 	|  0.50 	|  0.50 	| -0.01     	| -0.00
-0.00 	| -0.00 	|  0.50 	|  0.50 	| -0.00     	|  0.01
 0.10 	|  0.05 	|  0.50 	|  0.50 	|  0.01     	|  0.03
 0.20 	|  0.10 	|  0.50 	|  0.50 	|  0.03     	|  0.04
 0.30 	|  0.15 	|  0.51 	|  0.51 	|  0.04     	|  0.05
 0.40 	|  0.20 	|  0.51 	|  0.51 	|  0.05     	|  0.06
 0.50 	|  0.25 	|  0.52 	|  0.52 	|  0.06     	|  0.08
 0.60 	|  0.30 	|  0.52 	|  0.53 	|  0.08     	|  0.09
 0.70 	|  0.36 	|  0.53 	|  0.54 	|  0.09     	|  0.10
 0.80 	|  0.41 	|  0.54 	|  0.55 	|  0.10     	|  0.12
 0.90 	|  0.47 	|  0.55 	|  0.56 	|  0.12     	|  0.13
 1.00 	|  0.52 	|  0.56 	|  0.57 	|  0.13     	|  0.14
 1.10 	|  0.58 	|  0.58 	|  0.59 	|  0.14     	|  0.16
 1.20 	|  0.64 	|  0.59 	|  0.60 	|  0.16     	|  0.17
 1.30 	|  0.70 	|  0.61 	|  0.62 	|  0.17     	|  0.19
 1.40 	|  0.76 	|  0.63 	|  0.64 	|  0.19     	|  0.21
 1.50 	|  0.82 	|  0.65 	|  0.66 	|  0.21     	|  0.22
 1.60 	|  0.89 	|  0.67 	|  0.68 	|  0.22     	|  0.24
 1.70 	|  0.96 	|  0.69 	|  0.70 	|  0.24     	|  0.26
 1.80 	|  1.03 	|  0.72 	|  0.73 	|  0.26     	|  0.27
 1.90 	|  1.10 	|  0.74 	|  0.76 	|  0.27     	|  0.29
 2.00 	|  1.18 	|  0.77 	|  0.79 	|  0.29     	|  0.31
 2.10 	|  1.25 	|  0.80 	|  0.82 	|  0.31     	|  0.33
 2.20 	|  1.34 	|  0.83 	|  0.85 	|  0.33     	|  0.36
 2.30 	|  1.42 	|  0.87 	|  0.89 	|  0.36     	|  0.38
 2.40 	|  1.51 	|  0.91 	|  0.92 	|  0.38     	|  0.40
 2.50 	|  1.60 	|  0.94 	|  0.96 	|  0.40     	|  0.42
 2.60 	|  1.70 	|  0.99 	|  1.01 	|  0.42     	|  0.45
 2.70 	|  1.80 	|  1.03 	|  1.05 	|  0.45     	|  0.48
 2.80 	|  1.90 	|  1.08 	|  1.10 	|  0.48     	|  0.50
 2.90 	|  2.01 	|  1.12 	|  1.15 	|  0.50     	|  0.53
 3.00 	|  2.13 	|  1.18 	|  1.20 	|  0.53     	|  0.56
 3.10 	|  2.25 	|  1.23 	|  1.26 	|  0.56     	|  0.59
 3.20 	|  2.38 	|  1.29 	|  1.32 	|  0.59     	|  0.63
 3.30 	|  2.51 	|  1.35 	|  1.38 	|  0.63     	|  0.66
 3.40 	|  2.65 	|  1.41 	|  1.45 	|  0.66     	|  0.70
 3.50 	|  2.79 	|  1.48 	|  1.52 	|  0.70     	|  0.74
 3.60 	|  2.94 	|  1.55 	|  1.59 	|  0.74     	|  0.78
 3.70 	|  3.10 	|  1.63 	|  1.67 	|  0.78     	|  0.82
 3.80 	|  3.27 	|  1.71 	|  1.75 	|  0.82     	|  0.86
 3.90 	|  3.44 	|  1.79 	|  1.84 	|  0.86     	|  0.91
 4.00 	|  3.63 	|  1.88 	|  1.93 	|  0.91     	|  0.96
 4.10 	|  3.82 	|  1.97 	|  2.02 	|  0.95     	|  1.01
 4.20 	|  4.02 	|  2.07 	|  2.12 	|  1.01     	|  1.06
 4.30 	|  4.23 	|  2.18 	|  2.23 	|  1.06     	|  1.11
 4.40 	|  4.46 	|  2.28 	|  2.34 	|  1.11     	|  1.17
 4.50 	|  4.69 	|  2.40 	|  2.46 	|  1.17     	|  1.23
 4.60 	|  4.94 	|  2.52 	|  2.58 	|  1.23     	|  1.30
 4.70 	|  5.20 	|  2.65 	|  2.71 	|  1.30     	|  1.37
 4.80 	|  5.47 	|  2.78 	|  2.85 	|  1.37     	|  1.44
 4.90 	|  5.75 	|  2.92 	|  2.99 	|  1.44     	|  1.51
 5.00 	|  6.05 	|  3.07 	|  3.14 	|  1.51     	|  1.59
 5.10 	|  6.36 	|  3.22 	|  3.30 	|  1.59     	|  1.67
 5.20 	|  6.69 	|  3.38 	|  3.47 	|  1.67     	|  1.76
 5.30 	|  7.04 	|  3.56 	|  3.65 	|  1.76     	|  1.85
 5.40 	|  7.41 	|  3.74 	|  3.83 	|  1.85     	|  1.95
 5.50 	|  7.79 	|  3.93 	|  4.03 	|  1.95     	|  2.05
 5.60 	|  8.19 	|  4.13 	|  4.23 	|  2.05     	|  2.15
 5.70 	|  8.61 	|  4.34 	|  4.45 	|  2.15     	|  2.27
 5.80 	|  9.06 	|  4.56 	|  4.67 	|  2.26     	|  2.38
 5.90 	|  9.53 	|  4.79 	|  4.91 	|  2.38     	|  2.50
 6.00 	| 10.02 	|  5.03 	|  5.16 	|  2.50     	|  2.63
 6.10 	| 10.53 	|  5.29 	|  5.42 	|  2.63     	|  2.77
 6.20 	| 11.08 	|  5.56 	|  5.70 	|  2.77     	|  2.91
 6.30 	| 11.65 	|  5.84 	|  5.99 	|  2.91     	|  3.06
 6.40 	| 12.25 	|  6.14 	|  6.30 	|  3.06     	|  3.22
 6.50 	| 12.88 	|  6.46 	|  6.62 	|  3.22     	|  3.39
 6.60 	| 13.54 	|  6.79 	|  6.96 	|  3.38     	|  3.56
 6.70 	| 14.23 	|  7.13 	|  7.32 	|  3.56     	|  3.74
 6.80 	| 14.97 	|  7.50 	|  7.69 	|  3.74     	|  3.93
 6.90 	| 15.73 	|  7.88 	|  8.08 	|  3.93     	|  4.14
 7.00 	| 16.54 	|  8.29 	|  8.50 	|  4.14     	|  4.35
 7.10 	| 17.39 	|  8.71 	|  8.93 	|  4.35     	|  4.57
 7.20 	| 18.29 	|  9.16 	|  9.39 	|  4.57     	|  4.81
 7.30 	| 19.22 	|  9.63 	|  9.87 	|  4.81     	|  5.05
 7.40 	| 20.21 	| 10.12 	| 10.37 	|  5.05     	|  5.31
 7.50 	| 21.25 	| 10.64 	| 10.91 	|  5.31     	|  5.59
 7.60 	| 22.34 	| 11.18 	| 11.46 	|  5.58     	|  5.87
 7.70 	| 23.49 	| 11.75 	| 12.05 	|  5.87     	|  6.17
 7.80 	| 24.69 	| 12.36 	| 12.67 	|  6.17     	|  6.49
 7.90 	| 25.96 	| 12.99 	| 13.32 	|  6.49     	|  6.82
 8.00 	| 27.29 	| 13.65 	| 14.00 	|  6.82     	|  7.17
 8.10 	| 28.69 	| 14.35 	| 14.72 	|  7.17     	|  7.54
 8.20 	| 30.16 	| 15.09 	| 15.47 	|  7.54     	|  7.93
 8.30 	| 31.71 	| 15.86 	| 16.27 	|  7.93     	|  8.34
 8.40 	| 33.34 	| 16.68 	| 17.10 	|  8.33     	|  8.76
 8.50 	| 35.05 	| 17.53 	| 17.98 	|  8.76     	|  9.21
 8.60 	| 36.84 	| 18.43 	| 18.90 	|  9.21     	|  9.69
 8.70 	| 38.73 	| 19.37 	| 19.87 	|  9.68     	| 10.18
 8.80 	| 40.72 	| 20.37 	| 20.88 	| 10.18     	| 10.70
 8.90 	| 42.81 	| 21.41 	| 21.95 	| 10.70     	| 11.25
 9.00 	| 45.00 	| 22.51 	| 23.08 	| 11.25     	| 11.83
 9.10 	| 47.31 	| 23.66 	| 24.26 	| 11.83     	| 12.44
 9.20 	| 49.74 	| 24.87 	| 25.51 	| 12.43     	| 13.07
 9.30 	| 52.29 	| 26.15 	| 26.81 	| 13.07     	| 13.75
 9.40 	| 54.97 	| 27.49 	| 28.19 	| 13.74     	| 14.45
 9.50 	| 57.79 	| 28.90 	| 29.63 	| 14.45     	| 15.19
 9.60 	| 60.75 	| 30.38 	| 31.15 	| 15.19     	| 15.97
 9.70 	| 63.87 	| 31.94 	| 32.75 	| 15.97     	| 16.79
 9.80 	| 67.14 	| 33.57 	| 34.43 	| 16.79     	| 17.65
 9.90 	| 70.58 	| 35.30 	| 36.19 	| 17.65     	| 18.55
10.00 	| 74.20 	| 37.10 	| 38.05 	| 18.55     	| 19.51
